Name,Level,Contribution,Conquest
Senrik,13625,45776,73
Rosumi,12744,1200,54
PiroTree,12705,25160,54
Mikmik,12928,24187,54
Bigmuff,12803,32687,53
Waifuwu,13217,11403,51
Deeny,12721,14469,51
오유스,12890,10957,51
z4rt,12839,25889,51
MoldyMeat,12652,29537,50
cupkayc,13001,23261,50
Bryanthe,12612,2600,48
TonTon,12497,14182,48
Tankcat,12380,1600,47
orbitGor,12744,6165,47
Satoshi,12616,21039,47
hijklmno,12525,17324,46
Royalbanana,11904,20544,45
Anhjew,12124,800,44
Kaza,11640,17797,41
Bobertson,9294,13470,31
Imhim,7493,12837,24
